"","UniqueID","StateAbbr","CityName","Cancer_value","Binge_value","Smoke_value","LPA_value","Sleep_value","Obesity_value"
"383","621712","CA","El Cajon",6,19.2,18.2,22.7,35.3,24.9
"384","622020","CA","Elk Grove",5.6,17.4,12.6,18.5,36.3,23.8
"385","622230","CA","El Monte",4.5,13.2,15.3,30.4,39.3,26.2
"386","622804","CA","Escondido",5.7,19,15.7,22.6,34.5,23.8
"387","623182","CA","Fairfield",5.6,17.1,15.2,22.3,37.4,25.4
"388","624638","CA","Folsom",6.2,21.5,11.7,14.4,33.1,23.1
"389","624680","CA","Fontana",5,16.3,14.5,25.1,38.7,28.5
"390","626000","CA","Fremont",5.1,16.7,10,15.6,34,15.3
"391","627000","CA","Fresno",5.5,14.2,17,27,36.5,34.7
"392","628000","CA","Fullerton",5.5,15.6,12.4,18.6,32.7,21.5
"393","629000","CA","Garden Grove",5,13.7,14.3,23.8,35.6,21
"394","630000","CA","Glendale",5.9,17.5,13.6,18,34.9,22.3
"395","632548","CA","Hawthorne",5.1,15,14.7,24.5,39.2,29.9
"396","633000","CA","Hayward",5.2,17.2,14.4,21.5,36.5,22.9
"397","633182","CA","Hemet",5.9,17,18.8,27.2,39.8,31.7
"398","633434","CA","Hesperia",5.6,16.6,18.2,26,39.1,30
"399","636000","CA","Huntington Beach",6,18.8,12.2,14.9,30.8,20.8
"400","636448","CA","Indio",5.5,16.9,15.5,27.4,38.5,31.3
"401","636546","CA","Inglewood",5.1,14.6,15,25,40.7,32.9
"402","636770","CA","Irvine",5.6,15.4,9.2,13.9,31.1,16.7
"403","639496","CA","Lake Forest",5.9,18.5,11,14.9,30.6,20.3
"404","639892","CA","Lakewood",5.6,18,12.2,17.6,35.7,22.5
"405","640130","CA","Lancaster",5.7,16.5,16.6,23.6,38.4,29.4
"406","641992","CA","Livermore",6.1,21.7,13.1,15.1,32.2,20.6
"407","643000","CA","Long Beach",5.5,16.1,13.9,21.6,37.1,26
"408","644000","CA","Los Angeles",5.4,16,13.8,22.7,36.6,26.4
"409","644574","CA","Lynwood",4.7,14.2,16.2,31.3,39.1,33.1
"410","645484","CA","Manteca",5.8,18.8,15.7,23.1,34.9,29.9
"411","646842","CA","Menifee",5.9,19.4,15.3,21.6,37.9,27.7
"412","646898","CA","Merced",5.6,15,17.8,29.2,37.6,29.6
"413","647766","CA","Milpitas",4.7,12.7,9.6,20.6,33.5,15.7
"414","648256","CA","Mission Viejo",6.1,19.5,11,13.3,29.9,19.9
"415","648354","CA","Modesto",5.9,17.3,16.1,25,36.3,31.6
"416","649270","CA","Moreno Valley",5.3,16.3,15.9,27,40.5,31.6
"417","649670","CA","Mountain View",5.7,16.1,8.9,16,29.5,18.9
"418","650076","CA","Murrieta",5.9,19.6,13.6,18.9,37,25.5
"419","650258","CA","Napa",6.1,19.9,14.7,19.5,33,24
"420","651182","CA","Newport Beach",6.3,20,9.4,11.1,28.2,18.8
"421","652526","CA","Norwalk",4.9,16.1,12.9,23.6,36.8,26.1
"422","653000","CA","Oakland",5.3,16.7,15.1,21.7,37,25
"423","653322","CA","Oceanside",5.8,20.3,14.2,19,33.7,22.2
"424","653896","CA","Ontario",5.1,16.3,15,25.5,38.5,28.8
"425","653980","CA","Orange",5.7,17.4,13,18.1,31.9,22.6
"426","654652","CA","Oxnard",5.2,15.7,14.8,28,36.7,28.8
"427","655156","CA","Palmdale",5.4,16,15.7,24.9,38,29.3
"428","656000","CA","Pasadena",5.6,17,11,17.2,34.5,23
"429","656700","CA","Perris",5,15.7,16.6,30.8,40.8,33.6
"430","657792","CA","Pleasanton",6,20.8,10,12.6,31.1,17
"431","658072","CA","Pomona",5,15.1,14.4,26.1,37.7,28.7
"432","659451","CA","Rancho Cucamonga",5.6,18.6,12.3,17.5,36.3,23.8
"433","659920","CA","Redding",6.5,18.8,17.9,20,32.5,26
"434","659962","CA","Redlands",5.8,18.3,13.3,18.1,35.9,24.3
"435","660018","CA","Redondo Beach",6,20.5,9.3,12,31.7,19.3
"436","660102","CA","Redwood City",5.8,17.7,11.9,17.4,31.2,24.5
"437","660466","CA","Rialto",5.1,15.7,15.9,27,39.9,31
"438","660620","CA","Richmond",5.3,13.9,15.2,24.6,37,31.6
"439","662000","CA","Riverside",5.6,17.4,15.2,24.4,38.6,29.2
"440","662938","CA","Roseville",6.3,20.3,12.6,15.9,31.2,21.2
"441","664000","CA","Sacramento",5.6,16.2,15.5,23.2,37.7,28.6
